State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound
36,NY,New York,"3,040,207","3,009,308","3,071,106",15.9,15.7,16.1,"968,025","951,475","984,575",23,22.6,23.4,"658,627","644,269","672,985",21.7,21.2,22.2,"56,357","55,989","56,725","295,328","287,185","303,471",25.8,25.1,26.5
37,NC,North Carolina,"1,706,255","1,681,208","1,731,302",18,17.7,18.3,"581,594","569,022","594,166",25.8,25.2,26.4,"392,122","380,636","403,608",23.9,23.2,24.6,"45,195","44,809","45,581","181,415","176,187","186,643",29.8,28.9,30.7
38,ND,North Dakota,"75,251","72,056","78,446",11.2,10.7,11.7,"20,684","19,312","22,056",13.7,12.8,14.6,"12,555","11,414","13,696",11.9,10.8,13,"54,579","53,273","55,885","7,563","6,805","8,321",16.8,15.1,18.5
39,OH,Ohio,"1,818,886","1,797,356","1,840,416",16.2,16,16.4,"617,006","603,764","630,248",23.6,23.1,24.1,"411,818","400,008","423,628",21.4,20.8,22,"46,873","46,582","47,164","192,591","186,623","198,559",28.3,27.4,29.2
40,OK,Oklahoma,"636,134","625,653","646,615",17.2,16.9,17.5,"221,664","215,799","227,529",24.1,23.5,24.7,"145,829","140,663","150,995",22.1,21.3,22.9,"44,336","43,883","44,789","71,475","68,744","74,206",28,26.9,29.1
41,OR,Oregon,"651,302","635,799","666,805",17,16.6,17.4,"191,922","184,441","199,403",22.7,21.8,23.6,"124,909","118,327","131,491",20.4,19.3,21.5,"49,090","48,332","49,848","61,909","58,450","65,368",27.3,25.8,28.8
42,PA,Pennsylvania,"1,688,364","1,665,658","1,711,070",13.7,13.5,13.9,"527,373","514,729","540,017",19.6,19.1,20.1,"354,232","342,826","365,638",17.9,17.3,18.5,"51,225","50,962","51,488","160,622","155,264","165,980",22.6,21.8,23.4
44,RI,Rhode Island,"143,625","138,073","149,177",14.2,13.7,14.7,"44,355","41,942","46,768",20.8,19.7,21.9,"29,653","27,475","31,831",18.8,17.4,20.2,"54,002","52,598","55,406","13,739","12,683","14,795",25.3,23.4,27.2
45,SC,South Carolina,"837,327","821,424","853,230",18.3,18,18.6,"285,674","276,979","294,369",26.8,26,27.6,"192,338","184,903","199,773",24.9,23.9,25.9,"43,290","42,653","43,927","89,756","85,422","94,090",30.7,29.2,32.2
46,SD,South Dakota,"109,661","105,709","113,613",13.6,13.1,14.1,"36,950","34,954","38,946",18.5,17.5,19.5,"22,460","20,783","24,137",16.1,14.9,17.3,"48,439","47,546","49,332","13,339","12,265","14,413",23,21.1,24.9
47,TN,Tennessee,"1,135,205","1,116,022","1,154,388",18,17.7,18.3,"383,402","372,304","394,500",26.1,25.3,26.9,"260,624","250,675","270,573",24.5,23.6,25.4,"42,743","42,182","43,304","116,348","111,673","121,023",29.4,28.2,30.6
48,TX,Texas,"4,565,185","4,521,449","4,608,921",17.9,17.7,18.1,"1,777,177","1,751,910","1,802,444",25.8,25.4,26.2,"1,207,456","1,185,993","1,228,919",24.3,23.9,24.7,"50,747","50,482","51,012","547,212","534,327","560,097",28.7,28,29.4
49,UT,Utah,"364,124","352,417","375,831",13,12.6,13.4,"135,453","128,610","142,296",15.5,14.7,16.3,"88,371","82,648","94,094",14.3,13.4,15.2,"57,067","56,367","57,767","43,893","40,293","47,493",17.3,15.9,18.7
50,VT,Vermont,"71,626","68,589","74,663",11.9,11.4,12.4,"19,044","17,662","20,426",15.7,14.6,16.8,"12,604","11,368","13,840",13.9,12.5,15.3,"52,700","51,601","53,799","5,651","5,060","6,242",18.8,16.8,20.8
51,VA,Virginia,"936,384","918,614","954,154",11.8,11.6,12,"283,035","273,685","292,385",15.5,15,16,"189,191","181,052","197,330",14.3,13.7,14.9,"61,782","61,379","62,185","87,659","83,272","92,046",17.4,16.5,18.3
53,WA,Washington,"916,976","896,261","937,691",13.6,13.3,13.9,"288,376","277,380","299,372",18.5,17.8,19.2,"187,812","178,282","197,342",16.8,15.9,17.7,"57,574","57,000","58,148","92,561","87,534","97,588",21.5,20.3,22.7
54,WV,West Virginia,"323,978","315,059","332,897",18,17.5,18.5,"93,742","89,906","97,578",25.1,24.1,26.1,"62,933","59,564","66,302",23.2,22,24.4,"40,188","39,520","40,856","28,960","27,179","30,741",28.9,27.1,30.7
55,WI,Wisconsin,"738,226","725,205","751,247",13.2,13,13.4,"236,475","228,828","244,122",18.3,17.7,18.9,"157,218","150,256","164,180",16.7,16,17.4,"51,063","50,745","51,381","73,700","70,572","76,828",21.5,20.6,22.4
56,WY,Wyoming,"66,879","63,185","70,573",11.9,11.2,12.6,"20,306","18,679","21,933",15.4,14.2,16.6,"12,857","11,439","14,275",13.7,12.2,15.2,"55,104","53,854","56,354","6,746","5,960","7,532",17.9,15.8,20
